dataset,modelId,label,action,outcome,result,entryScore,confidence,grade,risk,distanceAtCommit
Genesis-019,late_catch,Late Catch,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,trend_continuation,Trend Follow,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,85,78,A,Low,67.11000000000058
Genesis-019,odds_pressure,Odds Pressure,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,v31_active,V31 Active,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,v32_regime,V32 Regime,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,v33_pro,V33 Pro Trader,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,six_minute_commit,6m Commit,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,late_catch,Late Catch,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,snapback_reversal,Snapback Guard,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,odds_pressure,Odds Pressure,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,meta_judge,Meta Judge,SKIP,UNDER,skipped,42,20,F,High,2.680000000000291
Genesis-019,core_v30,Core V30,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,v31_active,V31 Active,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,v32_regime,V32 Regime,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,v33_pro,V33 Pro Trader,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,six_minute_commit,6m Commit,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,late_catch,Late Catch,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,trend_continuation,Trend Follow,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,16,82,A,Low,-37.86000000000058
Genesis-019,odds_pressure,Odds Pressure,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,meta_judge,Meta Judge,UNDER,OVER,loss,16,82,A,Low,-37.86000000000058
Genesis-019,core_v30,Core V30,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,v31_active,V31 Active,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,v32_regime,V32 Regime,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,v33_pro,V33 Pro Trader,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,six_minute_commit,6m Commit,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,late_catch,Late Catch,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,19,82,B+,Low,-34.62000000000262
